iteration,current_Check,current_Raise50,average_Check,average_Raise50
356,1.000000,0.000000,0.760488,0.239512
357,1.000000,0.000000,0.760488,0.239512
358,1.000000,0.000000,0.761819,0.238181
359,1.000000,0.000000,0.761819,0.238181
360,0.887878,0.112122,0.763098,0.236902
361,0.887878,0.112122,0.763098,0.236902
362,0.730192,0.269808,0.763946,0.236054
363,0.730192,0.269808,0.763946,0.236054
364,0.615848,0.384152,0.763884,0.236116
365,0.615848,0.384152,0.763884,0.236116
366,0.517834,0.482166,0.763170,0.236830
367,0.517834,0.482166,0.763170,0.236830
368,0.422803,0.577197,0.761921,0.238079
369,0.422803,0.577197,0.761921,0.238079
370,0.351419,0.648581,0.760214,0.239786
371,0.351419,0.648581,0.760214,0.239786
372,0.303790,0.696210,0.758192,0.241808
373,0.303790,0.696210,0.758192,0.241808
374,0.281543,0.718457,0.755986,0.244014
375,0.281543,0.718457,0.755986,0.244014
376,0.285144,0.714856,0.753727,0.246273
377,0.285144,0.714856,0.753727,0.246273
378,0.311530,0.688470,0.751536,0.248464
379,0.311530,0.688470,0.751536,0.248464
380,0.355894,0.644106,0.749517,0.250483
381,0.355894,0.644106,0.749517,0.250483
382,0.413920,0.586080,0.747753,0.252247
383,0.413920,0.586080,0.747753,0.252247
384,0.483414,0.516586,0.746310,0.253690
385,0.483414,0.516586,0.746310,0.253690
386,0.563721,0.436279,0.745250,0.254750
387,0.563721,0.436279,0.745250,0.254750
388,0.655939,0.344061,0.744639,0.255361
389,0.655939,0.344061,0.744639,0.255361
390,0.765446,0.234554,0.744561,0.255439
391,0.765446,0.234554,0.744561,0.255439
392,0.901314,0.098686,0.745152,0.254848
393,0.901314,0.098686,0.745152,0.254848
394,1.000000,0.000000,0.746347,0.253653
395,1.000000,0.000000,0.746347,0.253653
396,1.000000,0.000000,0.747622,0.252378
397,1.000000,0.000000,0.747622,0.252378
398,1.000000,0.000000,0.748883,0.251117
399,1.000000,0.000000,0.748883,0.251117
400,1.000000,0.000000,0.750133,0.249867
401,1.000000,0.000000,0.750133,0.249867
402,1.000000,0.000000,0.751370,0.248630
403,1.000000,0.000000,0.751370,0.248630
404,1.000000,0.000000,0.752595,0.247405
405,1.000000,0.000000,0.752595,0.247405
406,1.000000,0.000000,0.753807,0.246193
407,1.000000,0.000000,0.753807,0.246193
408,1.000000,0.000000,0.755008,0.244992
409,1.000000,0.000000,0.755008,0.244992
410,0.909669,0.090331,0.756180,0.243820
411,0.909669,0.090331,0.756180,0.243820
412,0.753328,0.246672,0.757034,0.242966
413,0.753328,0.246672,0.757034,0.242966
414,0.641431,0.358569,0.757121,0.242879
415,0.641431,0.358569,0.757121,0.242879
416,0.548162,0.451838,0.756643,0.243357
417,0.548162,0.451838,0.756643,0.243357
418,0.461437,0.538563,0.755715,0.244285
419,0.461437,0.538563,0.755715,0.244285
420,0.384458,0.615542,0.754394,0.245606
421,0.384458,0.615542,0.754394,0.245606
422,0.328748,0.671252,0.752757,0.247243
423,0.328748,0.671252,0.752757,0.247243
424,0.294810,0.705190,0.750910,0.249090
425,0.294810,0.705190,0.750910,0.249090
426,0.282957,0.717043,0.748957,0.251043
427,0.282957,0.717043,0.748957,0.251043
428,0.292344,0.707656,0.746994,0.253006
429,0.292344,0.707656,0.746994,0.253006
430,0.320556,0.679444,0.745108,0.254892
431,0.320556,0.679444,0.745108,0.254892
432,0.362762,0.637238,0.743376,0.256624
433,0.362762,0.637238,0.743376,0.256624
434,0.414451,0.585549,0.741854,0.258146
435,0.414451,0.585549,0.741854,0.258146
436,0.473835,0.526165,0.740585,0.259415
437,0.473835,0.526165,0.740585,0.259415
438,0.540569,0.459431,0.739603,0.260397
439,0.540569,0.459431,0.739603,0.260397
440,0.615724,0.384276,0.738946,0.261054
441,0.615724,0.384276,0.738946,0.261054
442,0.701844,0.298156,0.738662,0.261338
443,0.701844,0.298156,0.738662,0.261338
444,0.803181,0.196819,0.738820,0.261180
445,0.803181,0.196819,0.738820,0.261180
446,0.925700,0.074300,0.739523,0.260477
447,0.925700,0.074300,0.739523,0.260477
448,1.000000,0.000000,0.740630,0.259370
449,1.000000,0.000000,0.740630,0.259370
450,1.000000,0.000000,0.741778,0.258222
451,1.000000,0.000000,0.741778,0.258222
452,1.000000,0.000000,0.742915,0.257085
453,1.000000,0.000000,0.742915,0.257085
454,1.000000,0.000000,0.744043,0.255957
455,1.000000,0.000000,0.744043,0.255957
456,1.000000,0.000000,0.745161,0.254839
457,1.000000,0.000000,0.745161,0.254839
458,1.000000,0.000000,0.746269,0.253731
459,1.000000,0.000000,0.746269,0.253731
460,1.000000,0.000000,0.747367,0.252633
461,1.000000,0.000000,0.747367,0.252633
462,1.000000,0.000000,0.748456,0.251544
463,1.000000,0.000000,0.748456,0.251544
464,0.866060,0.133940,0.749486,0.250514
465,0.866060,0.133940,0.749486,0.250514
466,0.732578,0.267422,0.750106,0.249894
467,0.732578,0.267422,0.750106,0.249894
468,0.633956,0.366044,0.750110,0.249890
469,0.633956,0.366044,0.750110,0.249890
470,0.550724,0.449276,0.749679,0.250321
471,0.550724,0.449276,0.749679,0.250321
472,0.480928,0.519072,0.748900,0.251100
473,0.480928,0.519072,0.748900,0.251100
474,0.426470,0.573530,0.747848,0.252152
475,0.426470,0.573530,0.747848,0.252152
476,0.386910,0.613090,0.746595,0.253405
477,0.386910,0.613090,0.746595,0.253405
478,0.362546,0.637454,0.745206,0.254794
479,0.362546,0.637454,0.745206,0.254794
480,0.352641,0.647359,0.743745,0.256255
481,0.352641,0.647359,0.743745,0.256255
482,0.355237,0.644763,0.742271,0.257729
483,0.355237,0.644763,0.742271,0.257729
484,0.369070,0.630930,0.740830,0.259170
485,0.369070,0.630930,0.740830,0.259170
486,0.392565,0.607435,0.739466,0.260534
487,0.392565,0.607435,0.739466,0.260534
488,0.424140,0.575860,0.738214,0.261786
489,0.424140,0.575860,0.738214,0.261786
490,0.462487,0.537513,0.737105,0.262895
491,0.462487,0.537513,0.737105,0.262895
492,0.506742,0.493258,0.736165,0.263835
493,0.506742,0.493258,0.736165,0.263835
494,0.556552,0.443448,0.735417,0.264583
495,0.556552,0.443448,0.735417,0.264583
496,0.612072,0.387928,0.734885,0.265115
497,0.612072,0.387928,0.734885,0.265115
498,0.673477,0.326523,0.734597,0.265403
499,0.673477,0.326523,0.734597,0.265403
500,0.739603,0.260397,0.734580,0.265420
501,0.739603,0.260397,0.734580,0.265420
502,0.810845,0.189155,0.734862,0.265138
503,0.810845,0.189155,0.734862,0.265138
504,0.885847,0.114153,0.735473,0.264527
505,0.885847,0.114153,0.735473,0.264527
506,0.960104,0.039896,0.736407,0.263593
507,0.960104,0.039896,0.736407,0.263593
508,1.000000,0.000000,0.737425,0.262575
509,1.000000,0.000000,0.737425,0.262575
510,1.000000,0.000000,0.738450,0.261550
511,1.000000,0.000000,0.738450,0.261550
512,1.000000,0.000000,0.739468,0.260532
513,1.000000,0.000000,0.739468,0.260532
514,1.000000,0.000000,0.740478,0.259522
515,1.000000,0.000000,0.740478,0.259522
516,0.989714,0.010286,0.741480,0.258520
517,0.989714,0.010286,0.741480,0.258520
518,0.912389,0.087611,0.742454,0.257546
519,0.912389,0.087611,0.742454,0.257546
520,0.831468,0.168532,0.743263,0.256737
521,0.831468,0.168532,0.743263,0.256737
522,0.755575,0.244425,0.743736,0.256264
523,0.755575,0.244425,0.743736,0.256264
524,0.688046,0.311954,0.743881,0.256119
525,0.688046,0.311954,0.743881,0.256119
526,0.629239,0.370761,0.743753,0.256247
527,0.629239,0.370761,0.743753,0.256247
528,0.579074,0.420926,0.743396,0.256604
529,0.579074,0.420926,0.743396,0.256604
530,0.537474,0.462526,0.742853,0.257147
531,0.537474,0.462526,0.742853,0.257147
532,0.504613,0.495387,0.742161,0.257839
533,0.504613,0.495387,0.742161,0.257839
534,0.479978,0.520022,0.741358,0.258642
535,0.479978,0.520022,0.741358,0.258642
536,0.462509,0.537491,0.740476,0.259524
537,0.462509,0.537491,0.740476,0.259524
538,0.452092,0.547908,0.739542,0.260458
539,0.452092,0.547908,0.739542,0.260458
540,0.448515,0.551485,0.738584,0.261416
541,0.448515,0.551485,0.738584,0.261416
542,0.451439,0.548561,0.737626,0.262374
543,0.451439,0.548561,0.737626,0.262374
544,0.460411,0.539589,0.736691,0.263309
545,0.460411,0.539589,0.736691,0.263309
546,0.474908,0.525092,0.735801,0.264199
547,0.474908,0.525092,0.735801,0.264199
548,0.494382,0.505618,0.734975,0.265025
549,0.494382,0.505618,0.734975,0.265025
550,0.518321,0.481679,0.734229,0.265771
551,0.518321,0.481679,0.734229,0.265771
552,0.546282,0.453718,0.733580,0.266420
553,0.546282,0.453718,0.733580,0.266420
554,0.577914,0.422086,0.733042,0.266958
555,0.577914,0.422086,0.733042,0.266958
556,0.612948,0.387052,0.732627,0.267373
557,0.612948,0.387052,0.732627,0.267373
558,0.649149,0.350851,0.732349,0.267651
559,0.649149,0.350851,0.732349,0.267651
560,0.686449,0.313551,0.732212,0.267788
561,0.686449,0.313551,0.732212,0.267788
562,0.724412,0.275588,0.732220,0.267780
563,0.724412,0.275588,0.732220,0.267780
564,0.762088,0.237912,0.732376,0.267624
565,0.762088,0.237912,0.732376,0.267624
566,0.797933,0.202067,0.732679,0.267321
567,0.797933,0.202067,0.732679,0.267321
568,0.829745,0.170255,0.733120,0.266880
569,0.829745,0.170255,0.733120,0.266880
570,0.854844,0.145156,0.733683,0.266317
571,0.854844,0.145156,0.733683,0.266317
572,0.870689,0.129311,0.734337,0.265663
573,0.870689,0.129311,0.734337,0.265663
574,0.875911,0.124089,0.735041,0.264959
575,0.875911,0.124089,0.735041,0.264959
576,0.871033,0.128967,0.735750,0.264250
577,0.871033,0.128967,0.735750,0.264250
578,0.857768,0.142232,0.736421,0.263579
579,0.857768,0.142232,0.736421,0.263579
580,0.837974,0.162026,0.737023,0.262977
581,0.837974,0.162026,0.737023,0.262977
582,0.812905,0.187095,0.737533,0.262467
583,0.812905,0.187095,0.737533,0.262467
584,0.784286,0.215714,0.737934,0.262066
585,0.784286,0.215714,0.737934,0.262066
586,0.753872,0.246128,0.738217,0.261783
587,0.753872,0.246128,0.738217,0.261783
588,0.723225,0.276775,0.738382,0.261618
589,0.723225,0.276775,0.738382,0.261618
590,0.693663,0.306337,0.738430,0.261570
591,0.693663,0.306337,0.738430,0.261570
592,0.666334,0.333666,0.738371,0.261629
593,0.666334,0.333666,0.738371,0.261629
594,0.642060,0.357940,0.738215,0.261785
595,0.642060,0.357940,0.738215,0.261785
596,0.619819,0.380181,0.737976,0.262024
597,0.619819,0.380181,0.737976,0.262024
598,0.600054,0.399946,0.737663,0.262337
599,0.600054,0.399946,0.737663,0.262337
600,0.583081,0.416919,0.737286,0.262714
601,0.583081,0.416919,0.737286,0.262714
602,0.569117,0.430883,0.736855,0.263145
603,0.569117,0.430883,0.736855,0.263145
604,0.558299,0.441701,0.736383,0.263617
605,0.558299,0.441701,0.736383,0.263617
606,0.550693,0.449307,0.735880,0.264120
607,0.550693,0.449307,0.735880,0.264120
608,0.546309,0.453691,0.735357,0.264643
609,0.546309,0.453691,0.735357,0.264643
610,0.545100,0.454900,0.734826,0.265174
611,0.545100,0.454900,0.734826,0.265174
612,0.546974,0.453026,0.734297,0.265703
613,0.546974,0.453026,0.734297,0.265703
614,0.551795,0.448205,0.733780,0.266220
615,0.551795,0.448205,0.733780,0.266220
616,0.559399,0.440601,0.733285,0.266715
617,0.559399,0.440601,0.733285,0.266715
618,0.569591,0.430409,0.732820,0.267180
619,0.569591,0.430409,0.732820,0.267180
620,0.582124,0.417876,0.732394,0.267606
621,0.582124,0.417876,0.732394,0.267606
622,0.594987,0.405013,0.732014,0.267986
623,0.594987,0.405013,0.732014,0.267986
624,0.608482,0.391518,0.731680,0.268320
625,0.608482,0.391518,0.731680,0.268320
626,0.622574,0.377426,0.731395,0.268605
627,0.622574,0.377426,0.731395,0.268605
628,0.637075,0.362925,0.731159,0.268841
629,0.637075,0.362925,0.731159,0.268841
630,0.651703,0.348297,0.730973,0.269027
