iteration,current_Check,current_Raise50,average_Check,average_Raise50
425,1.000000,0.000000,0.959109,0.040891
426,1.000000,0.000000,0.959300,0.040700
427,1.000000,0.000000,0.959300,0.040700
428,1.000000,0.000000,0.959490,0.040510
429,1.000000,0.000000,0.959490,0.040510
430,1.000000,0.000000,0.959677,0.040323
431,1.000000,0.000000,0.959677,0.040323
432,1.000000,0.000000,0.959863,0.040137
433,1.000000,0.000000,0.959863,0.040137
434,1.000000,0.000000,0.960047,0.039953
435,1.000000,0.000000,0.960047,0.039953
436,1.000000,0.000000,0.960230,0.039770
437,1.000000,0.000000,0.960230,0.039770
438,1.000000,0.000000,0.960410,0.039590
439,1.000000,0.000000,0.960410,0.039590
440,1.000000,0.000000,0.960590,0.039410
441,1.000000,0.000000,0.960590,0.039410
442,1.000000,0.000000,0.960767,0.039233
443,1.000000,0.000000,0.960767,0.039233
444,1.000000,0.000000,0.960943,0.039057
445,1.000000,0.000000,0.960943,0.039057
446,1.000000,0.000000,0.961117,0.038883
447,1.000000,0.000000,0.961117,0.038883
448,1.000000,0.000000,0.961290,0.038710
449,1.000000,0.000000,0.961290,0.038710
450,1.000000,0.000000,0.961461,0.038539
451,1.000000,0.000000,0.961461,0.038539
452,1.000000,0.000000,0.961631,0.038369
453,1.000000,0.000000,0.961631,0.038369
454,1.000000,0.000000,0.961800,0.038200
455,1.000000,0.000000,0.961800,0.038200
456,1.000000,0.000000,0.961966,0.038034
457,1.000000,0.000000,0.961966,0.038034
458,1.000000,0.000000,0.962132,0.037868
459,1.000000,0.000000,0.962132,0.037868
460,1.000000,0.000000,0.962296,0.037704
461,1.000000,0.000000,0.962296,0.037704
462,1.000000,0.000000,0.962458,0.037542
463,1.000000,0.000000,0.962458,0.037542
464,1.000000,0.000000,0.962619,0.037381
465,1.000000,0.000000,0.962619,0.037381
466,1.000000,0.000000,0.962779,0.037221
467,1.000000,0.000000,0.962779,0.037221
468,1.000000,0.000000,0.962937,0.037063
469,1.000000,0.000000,0.962937,0.037063
470,1.000000,0.000000,0.963094,0.036906
471,1.000000,0.000000,0.963094,0.036906
